table,variable,value,label
hh,home_in_region,0,Not in study region
hh,home_in_region,1,In study region
hh,home_county,995,Missing
hh,home_county,27001,Aitkin
hh,home_county,27003,Anoka
hh,home_county,27005,Becker
hh,home_county,27007,Beltrami
hh,home_county,27009,Benton
hh,home_county,27011,Big Stone
hh,home_county,27013,Blue Earth
hh,home_county,27015,Brown
hh,home_county,27017,Carlton
hh,home_county,27019,Carver
hh,home_county,27021,Cass
hh,home_county,27023,Chippewa
hh,home_county,27025,Chisago
hh,home_county,27027,Clay
hh,home_county,27029,Clearwater
hh,home_county,27031,Cook
hh,home_county,27033,Cottonwood
hh,home_county,27035,Crow Wing
hh,home_county,27037,Dakota
hh,home_county,27039,Dodge
hh,home_county,27041,Douglas
hh,home_county,27043,Faribault
hh,home_county,27045,Fillmore
hh,home_county,27047,Freeborn
hh,home_county,27049,Goodhue
hh,home_county,27051,Grant
hh,home_county,27053,Hennepin
hh,home_county,27055,Houston
hh,home_county,27057,Hubbard
hh,home_county,27059,Isanti
hh,home_county,27061,Itasca
hh,home_county,27063,Jackson
hh,home_county,27065,Kanabec
hh,home_county,27067,Kandiyohi
hh,home_county,27069,Kittson
hh,home_county,27071,Koochiching
hh,home_county,27073,Lac qui Parle
hh,home_county,27075,Lake
hh,home_county,27077,Lake of the Woods
hh,home_county,27079,Le Sueur
hh,home_county,27081,Lincoln
hh,home_county,27083,Lyon
hh,home_county,27085,McLeod
hh,home_county,27087,Mahnomen
hh,home_county,27089,Marshall
hh,home_county,27091,Martin
hh,home_county,27093,Meeker
hh,home_county,27095,Mille Lacs
hh,home_county,27097,Morrison
hh,home_county,27099,Mower
hh,home_county,27101,Murray
hh,home_county,27103,Nicollet
hh,home_county,27105,Nobles
hh,home_county,27107,Norman
hh,home_county,27109,Olmsted
hh,home_county,27111,Otter Tail
hh,home_county,27113,Pennington
hh,home_county,27115,Pine
hh,home_county,27117,Pipestone
hh,home_county,27119,Polk
hh,home_county,27121,Pope
hh,home_county,27123,Ramsey
hh,home_county,27125,Red Lake
hh,home_county,27127,Redwood
hh,home_county,27129,Renville
hh,home_county,27131,Rice
hh,home_county,27133,Rock
hh,home_county,27135,Roseau
hh,home_county,27137,St Louis
hh,home_county,27139,Scott
hh,home_county,27141,Sherburne
hh,home_county,27143,Sibley
hh,home_county,27145,Stearns
hh,home_county,27147,Steele
hh,home_county,27149,Stevens
hh,home_county,27151,Swift
hh,home_county,27153,Todd
hh,home_county,27155,Traverse
hh,home_county,27157,Wabasha
hh,home_county,27159,Wadena
hh,home_county,27161,Waseca
hh,home_county,27163,Washington
hh,home_county,27165,Watonwan
hh,home_county,27167,Wilkin
hh,home_county,27169,Winona
hh,home_county,27171,Wright
hh,home_county,27173,Yellow Medicine
hh,home_county,55001,Adams
hh,home_county,55003,Ashland
hh,home_county,55005,Barron
hh,home_county,55007,Bayfield
hh,home_county,55009,Brown
hh,home_county,55011,Buffalo
hh,home_county,55013,Burnett
hh,home_county,55015,Calumet
hh,home_county,55017,Chippewa
hh,home_county,55019,Clark
hh,home_county,55021,Columbia
hh,home_county,55023,Crawford
hh,home_county,55025,Dane
hh,home_county,55027,Dodge
hh,home_county,55029,Door
hh,home_county,55031,Douglas
hh,home_county,55033,Dunn
hh,home_county,55035,Eau Claire
hh,home_county,55037,Florence
hh,home_county,55039,Fond du Lac
hh,home_county,55041,Forest
hh,home_county,55043,Grant
hh,home_county,55045,Green
hh,home_county,55047,Green Lake
hh,home_county,55049,Iowa
hh,home_county,55051,Iron
hh,home_county,55053,Jackson
hh,home_county,55055,Jefferson
hh,home_county,55057,Juneau
hh,home_county,55059,Kenosha
hh,home_county,55061,Kewaunee
hh,home_county,55063,La Crosse
hh,home_county,55065,Lafayette
hh,home_county,55067,Langlade
hh,home_county,55069,Lincoln
hh,home_county,55071,Manitowoc
hh,home_county,55073,Marathon
hh,home_county,55075,Marinette
hh,home_county,55077,Marquette
hh,home_county,55078,Menominee
hh,home_county,55079,Milwaukee
hh,home_county,55081,Monroe
hh,home_county,55083,Oconto
hh,home_county,55085,Oneida
hh,home_county,55087,Outagamie
hh,home_county,55089,Ozaukee
hh,home_county,55091,Pepin
hh,home_county,55093,Pierce
hh,home_county,55095,Polk
hh,home_county,55097,Portage
hh,home_county,55099,Price
hh,home_county,55101,Racine
hh,home_county,55103,Richland
hh,home_county,55105,Rock
hh,home_county,55107,Rusk
hh,home_county,55109,St Croix
hh,home_county,55111,Sauk
hh,home_county,55113,Sawyer
hh,home_county,55115,Shawano
hh,home_county,55117,Sheboygan
hh,home_county,55119,Taylor
hh,home_county,55121,Trempealeau
hh,home_county,55123,Vernon
hh,home_county,55125,Vilas
hh,home_county,55127,Walworth
hh,home_county,55129,Washburn
hh,home_county,55131,Washington
hh,home_county,55133,Waukesha
hh,home_county,55135,Waupaca
hh,home_county,55137,Waushara
hh,home_county,55139,Winnebago
hh,home_county,55141,Wood
hh,home_state,27,Minnesota
hh,home_state,55,Wisconsin
hh,home_state,995,Missing
person,school_county,995,Missing
person,school_county,27001,Aitkin
person,school_county,27003,Anoka
person,school_county,27005,Becker
person,school_county,27007,Beltrami
person,school_county,27009,Benton
person,school_county,27011,Big Stone
person,school_county,27013,Blue Earth
person,school_county,27015,Brown
person,school_county,27017,Carlton
person,school_county,27019,Carver
person,school_county,27021,Cass
person,school_county,27023,Chippewa
person,school_county,27025,Chisago
person,school_county,27027,Clay
person,school_county,27029,Clearwater
person,school_county,27031,Cook
person,school_county,27033,Cottonwood
person,school_county,27035,Crow Wing
person,school_county,27037,Dakota
person,school_county,27039,Dodge
person,school_county,27041,Douglas
person,school_county,27043,Faribault
person,school_county,27045,Fillmore
person,school_county,27047,Freeborn
person,school_county,27049,Goodhue
person,school_county,27051,Grant
person,school_county,27053,Hennepin
person,school_county,27055,Houston
person,school_county,27057,Hubbard
person,school_county,27059,Isanti
person,school_county,27061,Itasca
person,school_county,27063,Jackson
person,school_county,27065,Kanabec
person,school_county,27067,Kandiyohi
person,school_county,27069,Kittson
person,school_county,27071,Koochiching
person,school_county,27073,Lac qui Parle
person,school_county,27075,Lake
person,school_county,27077,Lake of the Woods
person,school_county,27079,Le Sueur
person,school_county,27081,Lincoln
person,school_county,27083,Lyon
person,school_county,27085,McLeod
person,school_county,27087,Mahnomen
person,school_county,27089,Marshall
person,school_county,27091,Martin
person,school_county,27093,Meeker
person,school_county,27095,Mille Lacs
person,school_county,27097,Morrison
person,school_county,27099,Mower
person,school_county,27101,Murray
person,school_county,27103,Nicollet
person,school_county,27105,Nobles
person,school_county,27107,Norman
person,school_county,27109,Olmsted
person,school_county,27111,Otter Tail
person,school_county,27113,Pennington
person,school_county,27115,Pine
person,school_county,27117,Pipestone
person,school_county,27119,Polk
person,school_county,27121,Pope
person,school_county,27123,Ramsey
person,school_county,27125,Red Lake
person,school_county,27127,Redwood
person,school_county,27129,Renville
person,school_county,27131,Rice
person,school_county,27133,Rock
person,school_county,27135,Roseau
person,school_county,27137,St Louis
person,school_county,27139,Scott
person,school_county,27141,Sherburne
person,school_county,27143,Sibley
person,school_county,27145,Stearns
person,school_county,27147,Steele
person,school_county,27149,Stevens
person,school_county,27151,Swift
person,school_county,27153,Todd
person,school_county,27155,Traverse
person,school_county,27157,Wabasha
person,school_county,27159,Wadena
person,school_county,27161,Waseca
person,school_county,27163,Washington
person,school_county,27165,Watonwan
person,school_county,27167,Wilkin
person,school_county,27169,Winona
person,school_county,27171,Wright
person,school_county,27173,Yellow Medicine
person,school_county,55001,Adams
person,school_county,55003,Ashland
person,school_county,55005,Barron
person,school_county,55007,Bayfield
person,school_county,55009,Brown
person,school_county,55011,Buffalo
person,school_county,55013,Burnett
person,school_county,55015,Calumet
person,school_county,55017,Chippewa
person,school_county,55019,Clark
person,school_county,55021,Columbia
person,school_county,55023,Crawford
person,school_county,55025,Dane
person,school_county,55027,Dodge
person,school_county,55029,Door
person,school_county,55031,Douglas
person,school_county,55033,Dunn
person,school_county,55035,Eau Claire
person,school_county,55037,Florence
person,school_county,55039,Fond du Lac
person,school_county,55041,Forest
person,school_county,55043,Grant
person,school_county,55045,Green
person,school_county,55047,Green Lake
person,school_county,55049,Iowa
person,school_county,55051,Iron
person,school_county,55053,Jackson
person,school_county,55055,Jefferson
